Ticker,Dir,Price,RSI,Support,Resist,Entry,Stop,Target,R:R,Units,Risk$,Pos$,PosPct,WasCapped,CapReason,Vol,Earn,EarnDays,Type,SqueezeRisk,ShortInt,InstOwn,ATR_pct,HighVol,LateEntry,MonthlyTrend,MonthlyCandle,MonthlyPct,SectorETF,SectorRS,RS_pct,SectorTrend,SupportQ,SupportTouches,LevelRel,_level_rel,_false_breakout,_fb_label,_level_amb,_level_amb_n,_trend_confirmed,_trend_conf_label,_fib_zone,_fib_ret_pct,_fib_swing_low,_fib_swing_high,_fib_levels,_macd,_boll,_fundamental,_vol_ratio,Prob,EstWeeks,TimeHorizon,HorizonLabel,HorizonColor,HorizonRange,IsWatchlist
GTLB,🔴 SHORT,32.85,66.9,18.73,34.06,32.85,35.08,18.73,6.33,56.0,125,1839,7.4,False,,OK,2026-09-02,57,STOCK,MEDIUM,12.5,86.6,11.68,True,3.6,SHORT,BEAR,-3.7,,,,,MEDIUM,2,TESTED,TESTED,False,NO_BREAKOUT,AMBIGUOUS,3,False,UNCONFIRMED,GOLDEN_ZONE,42.0,18.729999542236328,52.380001068115234,"{'23.6': 26.67, '38.2': 31.58, '50.0': 35.56, '61.8': 39.53, '78.6': 45.18}","{'macd': -0.8586, 'signal': -2.4482, 'histogram': 1.5895, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 33.6925, 'middle': 25.6175, 'lower': 17.5425, 'pct_b': 0.948, 'squeeze': False, 'position': 'NEAR_UPPER'}","{'signal': 'HOLD', 'conf': 55, 'consensus': 'Hold (23 analysts)', 'target': 33.6087, 'upside': 2.3, 'caveats': [], 'bullets': ['Technology / Software - Infrastructure — $5.5B market cap', 'Analyst target $33.61 → +2.3% upside', 'Revenue growth: 23.1%'], 'scores': {'pe': 31.916441, 'debtToEquity': None, 'revenueGrowth': 0.231, 'shortPct': 0.125}}",0.52,92,6.1,MEDIUM,📈 בינוני,#d29922,2–3 חודשים,False
GILD,🟢 LONG,129.61,37.4,126.81,155.38,129.61,123.0,155.38,3.9,28.9,191,3750,15.0,True,Capped at 15% of portfolio,WARN,APPROACHING,30,STOCK,NONE,1.9,92.2,5.05,False,2.2,LONG,BEAR,-5.7,XLV,NEUTRAL,-1.9,UP,STRONG,8,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,5,False,UNCONFIRMED,GOLDEN_ZONE,51.2,105.01429874634994,155.38058840528927,"{'23.6': 143.49, '38.2': 136.14, '50.0': 130.2, '61.8': 124.25, '78.6': 115.79}","{'macd': -0.138, 'signal': 1.0855, 'histogram': -1.2235, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 145.9633, 'middle': 133.4432, 'lower': 120.9232, 'pct_b': 0.347, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (27 analysts)', 'target': 157.66667, 'upside': 21.6, 'caveats': [], 'bullets': ['Healthcare / Drug Manufacturers - General — $160.9B market cap', 'Analyst target $157.67 → +21.6% upside', 'Revenue growth: 4.4%'], 'scores': {'pe': 17.634014, 'debtToEquity': 94.635, 'revenueGrowth': 0.044, 'shortPct': 0.019199999}}",0.94,81,6.6,MEDIUM,📈 בינוני,#d29922,2–3 חודשים,False
FICO,🔴 SHORT,1286.51,58.8,870.01,1323.35,1286.51,1363.05,870.01,5.44,1.6,125,2101,8.4,False,,OK,2026-04-28,-70,STOCK,MEDIUM,10.5,95.6,10.93,True,2.8,SHORT,BEAR,-4.9,,,,,STRONG,6,TESTED,TESTED,False,NO_BREAKOUT,AMBIGUOUS,4,False,UNCONFIRMED,GOLDEN_ZONE,36.9,870.010009765625,1998.010009765625,"{'23.6': 1136.22, '38.2': 1300.91, '50.0': 1434.01, '61.8': 1567.11, '78.6': 1756.62}","{'macd': -62.8816, 'signal': -99.7765, 'histogram': 36.8948, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 1428.0242, 'middle': 1157.4675, 'lower': 886.9108, 'pct_b': 0.738, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (20 analysts)', 'target': 1529.5525, 'upside': 18.9, 'caveats': [], 'bullets': ['Technology / Software - Application — $29.8B market cap', 'Analyst target $1529.55 → +18.9% upside', 'Revenue growth: 38.7%'], 'scores': {'pe': 40.815674, 'debtToEquity': None, 'revenueGrowth': 0.387, 'shortPct': 0.104899995}}",0.53,92,4.9,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
CF,🟢 LONG,113.2,39.9,109.26,130.43,113.2,105.99,130.43,2.39,17.3,125,1961,7.8,False,,OK,APPROACHING,29,STOCK,NONE,8.1,103.5,10.11,True,3.6,LONG,BEAR,-5.6,,,,,STRONG,7,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,3,False,UNCONFIRMED,GOLDEN_ZONE,42.3,74.714473755056,141.38279774529636,"{'23.6': 125.65, '38.2': 115.92, '50.0': 108.05, '61.8': 100.18, '78.6': 88.98}","{'macd': 3.3065, 'signal': 5.5652, 'histogram': -2.2587, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 135.6984, 'middle': 116.9038, 'lower': 98.1093, 'pct_b': 0.401, 'squeeze': False, 'position': 'MID'}","{'signal': 'HOLD', 'conf': 55, 'consensus': 'Hold (18 analysts)', 'target': 123.77778, 'upside': 9.3, 'caveats': [], 'bullets': ['Basic Materials / Agricultural Inputs — $17.4B market cap', 'Analyst target $123.78 → +9.3% upside', 'Revenue growth: 19.4%'], 'scores': {'pe': 10.198197, 'debtToEquity': 43.847, 'revenueGrowth': 0.194, 'shortPct': 0.081199996}}",0.47,65,2.5,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
DIOD,🟢 LONG,97.64,63.5,91.02,117.8,97.64,88.29,117.8,2.16,13.4,125,1305,5.2,False,,WARN,APPROACHING,30,STOCK,NONE,0.0,0.0,15.57,True,7.3,,,,,,,,WEAK,1,CLEAN,CLEAN,True,FALSE_BREAKOUT,AMBIGUOUS,3,True,CONFIRMED,SHALLOW,33.9,42.279998779296875,125.98999786376953,"{'23.6': 106.23, '38.2': 94.01, '50.0': 84.13, '61.8': 74.26, '78.6': 60.19}","{'macd': 11.1543, 'signal': 12.0671, 'histogram': -0.9128, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 128.7974, 'middle': 91.49, 'lower': 54.1826, 'pct_b': 0.582, 'squeeze': False, 'position': 'MID'}",,0.96,15,2.2,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,True
