Ticker,Dir,Price,RSI,Support,Resist,Entry,Stop,Target,R:R,Units,Risk$,Pos$,PosPct,WasCapped,CapReason,Vol,Earn,EarnDays,Type,SqueezeRisk,ShortInt,InstOwn,ATR_pct,HighVol,LateEntry,MonthlyTrend,MonthlyCandle,MonthlyPct,SectorETF,SectorRS,RS_pct,SectorTrend,SupportQ,SupportTouches,LevelRel,_level_rel,_false_breakout,_fb_label,_level_amb,_level_amb_n,_trend_confirmed,_trend_conf_label,_fib_zone,_fib_ret_pct,_fib_swing_low,_fib_swing_high,_fib_levels,_macd,_boll,_fundamental,_vol_ratio,Prob,EstWeeks,TimeHorizon,HorizonLabel,HorizonColor,HorizonRange,IsWatchlist
ADI,🟢 LONG,390.78,64.1,381.22,510.78,390.78,369.78,510.78,5.72,6.0,125,2326,9.3,False,,WARN,2026-08-19,44.0,STOCK,NONE,2.8,93.3,8.77,True,2.5,LONG,NEUTRAL,-1.8,,,,,STRONG,7,CLEAN,CLEAN,False,NO_BREAKOUT,CLEAR,1,False,UNCONFIRMED,SHALLOW,24.0,216.06769593723496,445.9100036621094,"{'23.6': 391.67, '38.2': 358.11, '50.0': 330.99, '61.8': 303.87, '78.6': 265.25}","{'macd': 27.8862, 'signal': 32.0706, 'histogram': -4.1843, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 459.3797, 'middle': 374.202, 'lower': 289.0242, 'pct_b': 0.597, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (30 analysts)', 'target': 453.66666, 'upside': 16.1, 'caveats': ['High P/E: 58x'], 'bullets': ['Technology / Semiconductors — $190.3B market cap', 'Analyst target $453.67 → +16.1% upside', 'Revenue growth: 37.2%'], 'scores': {'pe': 58.23845, 'debtToEquity': 25.81, 'revenueGrowth': 0.372, 'shortPct': 0.0276}}",1.01,92,5.8,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
GTLB,🔴 SHORT,32.72,66.8,18.73,34.06,32.72,35.08,18.73,5.92,52.9,125,1731,6.9,False,,OK,2026-09-02,58.0,STOCK,MEDIUM,12.5,86.6,11.73,True,3.9,SHORT,BEAR,-3.7,,,,,MEDIUM,2,TESTED,TESTED,False,NO_BREAKOUT,AMBIGUOUS,3,False,UNCONFIRMED,GOLDEN_ZONE,41.6,18.729999542236328,52.380001068115234,"{'23.6': 26.67, '38.2': 31.58, '50.0': 35.56, '61.8': 39.53, '78.6': 45.18}","{'macd': -0.869, 'signal': -2.4502, 'histogram': 1.5813, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 33.6617, 'middle': 25.611, 'lower': 17.5603, 'pct_b': 0.942, 'squeeze': False, 'position': 'NEAR_UPPER'}","{'signal': 'HOLD', 'conf': 55, 'consensus': 'Hold (23 analysts)', 'target': 33.6087, 'upside': 2.7, 'caveats': [], 'bullets': ['Technology / Software - Infrastructure — $5.5B market cap', 'Analyst target $33.61 → +2.7% upside', 'Revenue growth: 23.1%'], 'scores': {'pe': 31.790138, 'debtToEquity': None, 'revenueGrowth': 0.231, 'shortPct': 0.125}}",0.5,92,6.1,MEDIUM,📈 בינוני,#d29922,2–3 חודשים,False
HO,🟢 LONG,3.32,31.3,3.04,4.84,3.32,2.95,4.84,4.15,341.3,125,1131,4.5,False,,OK,-,,COMMODITY,NONE,0.0,0.0,14.04,True,9.0,LONG,BEAR,-6.4,,,,,STRONG,3,CLEAN,CLEAN,False,NO_BREAKOUT,AMBIGUOUS,8,False,UNCONFIRMED,GOLDEN_ZONE,54.5,2.0469000339508057,4.835299968719482,"{'23.6': 4.18, '38.2': 3.77, '50.0': 3.44, '61.8': 3.11, '78.6': 2.64}","{'macd': 0.1177, 'signal': 0.2387, 'histogram': -0.1209, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 4.6699, 'middle': 3.7055, 'lower': 2.7412, 'pct_b': 0.298, 'squeeze': False, 'position': 'MID'}",,0.54,84,5.4,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
FICO,🔴 SHORT,1287.59,58.9,870.01,1323.35,1287.59,1363.05,870.01,5.53,1.7,125,2132,8.5,False,,OK,2026-04-28,-69.0,STOCK,MEDIUM,10.5,95.6,10.92,True,2.7,SHORT,BEAR,-4.9,,,,,STRONG,6,TESTED,TESTED,False,NO_BREAKOUT,AMBIGUOUS,4,False,UNCONFIRMED,GOLDEN_ZONE,37.0,870.010009765625,1998.010009765625,"{'23.6': 1136.22, '38.2': 1300.91, '50.0': 1434.01, '61.8': 1567.11, '78.6': 1756.62}","{'macd': -62.7955, 'signal': -99.7593, 'histogram': 36.9638, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 1428.187, 'middle': 1157.5215, 'lower': 886.8559, 'pct_b': 0.74, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (20 analysts)', 'target': 1529.5525, 'upside': 18.8, 'caveats': [], 'bullets': ['Technology / Software - Application — $29.9B market cap', 'Analyst target $1529.55 → +18.8% upside', 'Revenue growth: 38.7%'], 'scores': {'pe': 40.849934, 'debtToEquity': None, 'revenueGrowth': 0.387, 'shortPct': 0.104899995}}",0.51,92,4.9,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
CF,🟢 LONG,112.88,39.7,109.26,130.43,112.88,105.99,130.43,2.55,18.1,125,2046,8.2,False,,OK,APPROACHING,30.0,STOCK,NONE,8.1,103.5,10.1,True,3.3,LONG,BEAR,-5.6,,,,,STRONG,7,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,3,False,UNCONFIRMED,GOLDEN_ZONE,42.8,74.714473755056,141.38279774529636,"{'23.6': 125.65, '38.2': 115.92, '50.0': 108.05, '61.8': 100.18, '78.6': 88.98}","{'macd': 3.281, 'signal': 5.5601, 'histogram': -2.2791, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 135.6962, 'middle': 116.8878, 'lower': 98.0795, 'pct_b': 0.393, 'squeeze': False, 'position': 'MID'}","{'signal': 'HOLD', 'conf': 55, 'consensus': 'Hold (18 analysts)', 'target': 123.77778, 'upside': 9.7, 'caveats': [], 'bullets': ['Basic Materials / Agricultural Inputs — $17.3B market cap', 'Analyst target $123.78 → +9.7% upside', 'Revenue growth: 19.4%'], 'scores': {'pe': 10.169369, 'debtToEquity': 43.847, 'revenueGrowth': 0.194, 'shortPct': 0.081199996}}",0.44,69,2.6,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
TON,🔴 SHORT,0.01,70.5,0.01,0.01,0.01,0.01,0.01,2.64,324770.1,125,2440,9.8,False,,WARN,-,,CRYPTO,NONE,0.0,0.0,10.66,True,2.4,,,,,,,,STRONG,3,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,CLEAR,1,False,UNCONFIRMED,NO_RETRACEMENT,0.1,0.004042999818921089,3.728602886199951,"{'23.6': 0.88, '38.2': 1.43, '50.0': 1.87, '61.8': 2.31, '78.6': 2.93}","{'macd': -0.0445, 'signal': -0.0644, 'histogram': 0.0199, 'trend': 'BULL', 'cross': None, 'divergence': 'BULL_DIV'}","{'upper': 0.0091, 'middle': 0.0061, 'lower': 0.0031, 'pct_b': 0.736, 'squeeze': False, 'position': 'MID'}",,1.65,41,0.0,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,True
RB,🟢 LONG,3.0,42.5,2.89,3.41,3.0,2.8,3.41,2.04,625.0,125,1875,7.5,False,,OK,-,,COMMODITY,NONE,0.0,0.0,10.48,True,3.9,LONG,NEUTRAL,-1.3,,,,,STRONG,7,CLEAN,CLEAN,False,NO_BREAKOUT,CLEAR,1,False,UNCONFIRMED,GOLDEN_ZONE,38.1,1.6655999422073364,3.823199987411499,"{'23.6': 3.31, '38.2': 3.0, '50.0': 2.74, '61.8': 2.49, '78.6': 2.13}","{'macd': 0.1906, 'signal': 0.2707, 'histogram': -0.0801, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 3.8374, 'middle': 3.1305, 'lower': 2.4236, 'pct_b': 0.408, 'squeeze': False, 'position': 'MID'}",,0.51,92,2.2,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,False
ROST,🟢 LONG,212.72,46.3,207.79,242.81,212.72,201.56,242.81,2.7,17.6,196,3750,15.0,True,Capped at 15% of portfolio,WARN,2026-08-20,45.0,STOCK,NONE,3.9,94.7,6.11,False,2.4,LONG,BEAR,-6.6,,,,,STRONG,9,CLEAN,CLEAN,False,NO_BREAKOUT,CLEAR,1,False,UNCONFIRMED,SHALLOW,25.6,125.18413924702425,242.80999755859375,"{'23.6': 215.05, '38.2': 197.88, '50.0': 184.0, '61.8': 170.12, '78.6': 150.36}","{'macd': 9.1318, 'signal': 12.7061, 'histogram': -3.5743, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 241.3779, 'middle': 220.5589, 'lower': 199.7398, 'pct_b': 0.312, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (17 analysts)', 'target': 256.17648, 'upside': 20.4, 'caveats': [], 'bullets': ['Consumer Cyclical / Apparel Retail — $68.2B market cap', 'Analyst target $256.18 → +20.4% upside', 'Revenue growth: 20.6%'], 'scores': {'pe': 29.751049, 'debtToEquity': 74.911, 'revenueGrowth': 0.206, 'shortPct': 0.0388}}",0.94,92,3.9,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
GILD,🟢 LONG,129.19,36.9,120.6,155.38,129.19,116.98,155.38,2.14,20.5,250,2645,10.6,False,,WARN,2026-08-06,31.0,STOCK,NONE,1.9,92.2,5.07,False,7.1,LONG,BEAR,-5.7,XLV,BELOW,-2.4,UP,STRONG,11,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,5,False,UNCONFIRMED,GOLDEN_ZONE,52.0,105.01430582093928,155.38060389151264,"{'23.6': 143.49, '38.2': 136.14, '50.0': 130.2, '61.8': 124.25, '78.6': 115.79}","{'macd': -0.1715, 'signal': 1.0788, 'histogram': -1.2503, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 145.9707, 'middle': 133.4222, 'lower': 120.8737, 'pct_b': 0.331, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (27 analysts)', 'target': 157.66667, 'upside': 22.0, 'caveats': [], 'bullets': ['Healthcare / Drug Manufacturers - General — $160.4B market cap', 'Analyst target $157.67 → +22.0% upside', 'Revenue growth: 4.4%'], 'scores': {'pe': 17.576872, 'debtToEquity': 94.635, 'revenueGrowth': 0.044, 'shortPct': 0.019199999}}",0.88,50,6.7,MEDIUM,📈 בינוני,#d29922,2–3 חודשים,True
