Ticker,Dir,Price,RSI,Support,Resist,Entry,Stop,Target,R:R,Units,Risk$,Pos$,PosPct,WasCapped,CapReason,Vol,Earn,EarnDays,Type,SqueezeRisk,ShortInt,InstOwn,ATR_pct,HighVol,LateEntry,MonthlyTrend,MonthlyCandle,MonthlyPct,SectorETF,SectorRS,RS_pct,SectorTrend,SupportQ,SupportTouches,LevelRel,_level_rel,_false_breakout,_fb_label,_level_amb,_level_amb_n,_trend_confirmed,_trend_conf_label,_fib_zone,_fib_ret_pct,_fib_swing_low,_fib_swing_high,_fib_levels,_macd,_boll,_fundamental,Prob,EstWeeks,TimeHorizon,HorizonLabel,HorizonColor,HorizonRange,IsWatchlist
ADI,🟢 LONG,389.58,63.9,381.22,508.1,389.58,369.78,508.1,5.99,6.3,125,2459,9.8,False,,WARN,2026-08-19,44,STOCK,NONE,2.8,93.3,8.69,True,2.2,LONG,NEUTRAL,-1.8,,,,,STRONG,7,CLEAN,CLEAN,False,NO_BREAKOUT,CLEAR,1,False,UNCONFIRMED,SHALLOW,24.5,216.06769593723496,445.9100036621094,"{'23.6': 391.67, '38.2': 358.11, '50.0': 330.99, '61.8': 303.87, '78.6': 265.25}","{'macd': 27.7905, 'signal': 32.0514, 'histogram': -4.2609, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 459.2722, 'middle': 374.142, 'lower': 289.0117, 'pct_b': 0.591, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (30 analysts)', 'target': 453.66666, 'upside': 16.5, 'caveats': ['High P/E: 58x'], 'bullets': ['Technology / Semiconductors — $189.7B market cap', 'Analyst target $453.67 → +16.5% upside', 'Revenue growth: 37.2%'], 'scores': {'pe': 58.054398, 'debtToEquity': 25.81, 'revenueGrowth': 0.372, 'shortPct': 0.0276}}",92,5.8,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
FICO,🔴 SHORT,1271.59,58.3,870.01,1323.35,1271.59,1363.05,870.01,4.39,1.4,125,1737,7.0,False,,OK,2026-04-28,-69,STOCK,MEDIUM,10.5,95.6,10.95,True,3.9,SHORT,BEAR,-4.9,,,,,STRONG,6,TESTED,TESTED,False,NO_BREAKOUT,AMBIGUOUS,4,False,UNCONFIRMED,SHALLOW,35.6,870.010009765625,1998.010009765625,"{'23.6': 1136.22, '38.2': 1300.91, '50.0': 1434.01, '61.8': 1567.11, '78.6': 1756.62}","{'macd': -64.0719, 'signal': -100.0145, 'histogram': 35.9427, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 1425.8586, 'middle': 1156.7215, 'lower': 887.5844, 'pct_b': 0.713, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (20 analysts)', 'target': 1529.5525, 'upside': 20.3, 'caveats': [], 'bullets': ['Technology / Software - Application — $29.5B market cap', 'Analyst target $1529.55 → +20.3% upside', 'Revenue growth: 38.7%'], 'scores': {'pe': 40.34232, 'debtToEquity': None, 'revenueGrowth': 0.387, 'shortPct': 0.104899995}}",92,4.8,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,False
CCL,🔴 SHORT,27.85,56.3,24.34,28.41,27.85,29.27,24.34,2.49,88.6,125,2467,9.9,False,,OK,2026-06-23,-13,STOCK,NONE,3.2,65.7,9.36,True,2.0,SHORT,BULL,3.9,,,,,STRONG,13,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,7,False,UNCONFIRMED,GOLDEN_ZONE,43.8,23.327121139551046,33.66720664953175,"{'23.6': 25.77, '38.2': 27.28, '50.0': 28.5, '61.8': 29.72, '78.6': 31.45}","{'macd': 0.1559, 'signal': -0.0461, 'histogram': 0.2021, 'trend': 'BULL', 'cross': None, 'divergence': 'BULL_DIV'}","{'upper': 31.4581, 'middle': 27.0867, 'lower': 22.7152, 'pct_b': 0.588, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (24 analysts)', 'target': 35.8625, 'upside': 28.7, 'caveats': ['High D/E ratio: 202%'], 'bullets': ['Consumer Cyclical / Travel Services — $38.2B market cap', 'Analyst target $35.86 → +28.7% upside', 'Revenue growth: 5.3%'], 'scores': {'pe': 12.547297, 'debtToEquity': 201.556, 'revenueGrowth': 0.053, 'shortPct': 0.0319}}",73,2.2,WEEKLY,⚡ שבועי,#3fb950,1–2 שבועות,False
WYNN,🔴 SHORT,94.92,42.6,82.47,97.81,94.92,100.74,82.47,2.14,39.5,230,3750,15.0,True,Capped at 15% of portfolio,OK,2026-08-06,31,STOCK,NONE,10.0,73.4,7.47,False,3.0,SHORT,BEAR,-6.0,,,,,STRONG,12,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,6,False,UNCONFIRMED,NO_RETRACEMENT,3.6,93.44999694824219,134.07460689564476,"{'23.6': 103.04, '38.2': 108.97, '50.0': 113.76, '61.8': 118.56, '78.6': 125.38}","{'macd': -3.2135, 'signal': -2.8735, 'histogram': -0.34, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 110.4309, 'middle': 101.7647, 'lower': 93.0984, 'pct_b': 0.105, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 90, 'consensus': 'Strong Buy (18 analysts)', 'target': 135.88889, 'upside': 43.2, 'caveats': [], 'bullets': ['Consumer Cyclical / Resorts & Casinos — $9.9B market cap', 'Analyst target $135.89 → +43.2% upside', 'Revenue growth: 9.2%'], 'scores': {'pe': 27.197706, 'debtToEquity': None, 'revenueGrowth': 0.092, 'shortPct': 0.099700004}}",64,2.9,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,True
GILD,🟢 LONG,129.35,37.1,120.6,155.38,129.35,116.98,155.38,2.11,20.2,250,2615,10.5,False,,WARN,2026-08-06,31,STOCK,NONE,1.9,92.2,5.0,False,7.3,LONG,BEAR,-5.7,XLV,NEUTRAL,-1.4,UP,STRONG,11,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,AMBIGUOUS,5,False,UNCONFIRMED,GOLDEN_ZONE,51.7,105.01429874634994,155.38060389151264,"{'23.6': 143.49, '38.2': 136.14, '50.0': 130.2, '61.8': 124.25, '78.6': 115.79}","{'macd': -0.1591, 'signal': 1.0813, 'histogram': -1.2404, 'trend': 'BEAR', 'cross': None, 'divergence': None}","{'upper': 145.9677, 'middle': 133.43, 'lower': 120.8923, 'pct_b': 0.337, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (27 analysts)', 'target': 157.66667, 'upside': 21.9, 'caveats': [], 'bullets': ['Healthcare / Drug Manufacturers - General — $160.6B market cap', 'Analyst target $157.67 → +21.9% upside', 'Revenue growth: 4.4%'], 'scores': {'pe': 17.593878, 'debtToEquity': 94.635, 'revenueGrowth': 0.044, 'shortPct': 0.019199999}}",51,6.7,MEDIUM,📈 בינוני,#d29922,2–3 חודשים,True
VRSK,🔴 SHORT,185.77,50.6,163.74,190.99,185.77,196.72,163.74,2.01,20.2,220,3750,15.0,True,Capped at 15% of portfolio,OK,APPROACHING,23,STOCK,HIGH,7.8,104.9,7.35,False,2.7,SHORT,NEUTRAL,2.6,,,,,WEAK,1,UNRELIABLE,UNRELIABLE,False,NO_BREAKOUT,CROWDED,2,False,UNCONFIRMED,SHALLOW,20.4,155.5157845263067,303.69090672414177,"{'23.6': 190.49, '38.2': 212.12, '50.0': 229.6, '61.8': 247.09, '78.6': 271.98}","{'macd': -8.5702, 'signal': -12.1158, 'histogram': 3.5455, 'trend': 'BULL', 'cross': None, 'divergence': None}","{'upper': 210.2085, 'middle': 183.0676, 'lower': 155.9268, 'pct_b': 0.55, 'squeeze': False, 'position': 'MID'}","{'signal': 'BUY', 'conf': 75, 'consensus': 'Buy (17 analysts)', 'target': 220.4706, 'upside': 18.7, 'caveats': [], 'bullets': ['Industrials / Consulting Services — $24.3B market cap', 'Analyst target $220.47 → +18.7% upside', 'Revenue growth: 3.9%'], 'scores': {'pe': 28.362595, 'debtToEquity': None, 'revenueGrowth': 0.039, 'shortPct': 0.0779}}",57,2.7,MONTHLY,📅 חודשי,#58a6ff,3–6 שבועות,True
